EVENT_DATE_KEY,TSN,SEARCH_TEXT,UI_VALUE_DESC_01,UI_VALUE_DESC_02,UI_VALUE_DESC_03,UI_VALUE_DESC_04,SEARCH_CONTEXT,MATCH,,
20150815,D1990E22B64922B00B5BD25ED1E58A00,NA,nascar,raceday,NA,NA,FALSE,1,1,
20150815,8400001903B7708,ar,archer,NA,NA,NA,FALSE,1,1,
20150815,7582001902E1826,nf,nfl,preseason,football,NA,FALSE,1,1,
20150815,772C964C58320172DC12677938803257,des,descendants,NA,NA,NA,FALSE,1,1,
20150815,772C964C58320172DC12677938803257,des,descendants,NA,NA,NA,FALSE,1,1,
20150815,772C964C58320172DC12677938803257,des,descendants,NA,NA,NA,FALSE,1,1,
20150815,772C964C58320172DC12677938803257,des,descendants,NA,NA,NA,FALSE,1,1,
20150815,9229A9762822A44AF67659E5C0ACDD2E,bel,below,deck,NA,NA,FALSE,1,1,
20150815,9229A9762822A44AF67659E5C0ACDD2E,bel,below,deck,NA,NA,FALSE,1,1,
20150815,9229A9762822A44AF67659E5C0ACDD2E,lo,lockup,NA,NA,NA,FALSE,1,1,
20150815,9229A9762822A44AF67659E5C0ACDD2E,lo,lockup,NA,NA,NA,FALSE,1,1,
20150815,9229A9762822A44AF67659E5C0ACDD2E,lock,locked,up,abroad,NA,FALSE,1,1,
20150815,9229A9762822A44AF67659E5C0ACDD2E,lock,locked,up,abroad,NA,FALSE,1,1,
20150815,D180AD600040962,ento,entourage,NA,NA,NA,FALSE,1,1,
20150815,11E61530566802BB77E7777C07D54663,penn,penny,dreadful,NA,NA,FALSE,1,1,
20150815,11E61530566802BB77E7777C07D54663,penn,penny,dreadful,NA,NA,FALSE,1,1,
20150815,746000190339D5A,365,mcdonald's,365,black,awards,FALSE,#N/A,#N/A,
20150815,746000190339D5A,365,mcdonald's,365,black,awards,FALSE,#N/A,#N/A,
20150815,746000190339D5A,agen,the,agent,NA,NA,FALSE,2,1,
20150815,746000190339D5A,agen,the,agent,NA,NA,FALSE,2,1,
20150815,6A696DC22DE4A20C692116D7BC5C6631,nf,nfl,preseason,football,NA,FALSE,1,1,
20150815,6A696DC22DE4A20C692116D7BC5C6631,nf,nfl,preseason,football,NA,FALSE,1,1,
20150815,C85261D71CBB66668492A908811C0143,star,star,trek:,the,next,FALSE,1,1,
20150815,8100E79749B84C3EA4C59EB099E49E30,hunt,the,hunt,for,red,FALSE,2,1,
20150815,8100E79749B84C3EA4C59EB099E49E30,ap,apollo,13,NA,NA,FALSE,1,1,
20150815,8100E79749B84C3EA4C59EB099E49E30,ap,apollo,18,NA,NA,FALSE,1,1,
20150815,93F54078667C1E0DDAE76C75AAFE1503,twe,twelve,monkeys,NA,NA,FALSE,1,1,
20150815,93F54078667C1E0DDAE76C75AAFE1503,twe,twelve,monkeys,NA,NA,FALSE,1,1,
20150815,6CA570C05726D2E0B6C7F5C4F633AD26,e,extant,NA,NA,NA,FALSE,1,1,
20150815,6CA570C05726D2E0B6C7F5C4F633AD26,e,extant,NA,NA,NA,FALSE,1,1,
20150815,6CA570C05726D2E0B6C7F5C4F633AD26,e,extant,NA,NA,NA,FALSE,1,1,
20150815,6CA570C05726D2E0B6C7F5C4F633AD26,e,extant,NA,NA,NA,FALSE,1,1,
20150815,6CA570C05726D2E0B6C7F5C4F633AD26,e,extant,NA,NA,NA,FALSE,1,1,
20150815,6CA570C05726D2E0B6C7F5C4F633AD26,e,extant,NA,NA,NA,FALSE,1,1,
20150815,6CA570C05726D2E0B6C7F5C4F633AD26,e,extant,NA,NA,NA,FALSE,1,1,
20150815,6CA570C05726D2E0B6C7F5C4F633AD26,e,elementary,NA,NA,NA,FALSE,1,1,
20150815,6CA570C05726D2E0B6C7F5C4F633AD26,e,elementary,NA,NA,NA,FALSE,1,1,
20150815,6CA570C05726D2E0B6C7F5C4F633AD26,e,elementary,NA,NA,NA,FALSE,1,1,
20150815,6CA570C05726D2E0B6C7F5C4F633AD26,e,extant,NA,NA,NA,FALSE,1,1,
20150815,6CA570C05726D2E0B6C7F5C4F633AD26,e,extant,NA,NA,NA,FALSE,1,1,
